date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:35	40058/40058	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-9c7a%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/i3-600x403.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/i3-600x403.jpg	(from http://glanz.starkethemes.com/)
14:29:37	35846/35846	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:30%20GMT	http://glanz.starkethemes.com/invitation-iv/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/invitation-iv/index.html	(from http://glanz.starkethemes.com/)
14:29:41	57272/57272	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-dfb8%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/i4-600x403.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/i4-600x403.jpg	(from http://glanz.starkethemes.com/)
14:29:44	56713/56713	---M--	200	added ('OK')	image/jpeg	etag:%22595dc513-dd89%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/OIZY2P0-1400x933.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/OIZY2P0-1400x933.jpg	(from http://glanz.starkethemes.com/)
14:29:45	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22595ce746-2748%22	http://glanz.starkethemes.com/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-includes/js/jquery/jquery-migrate.min.js	(from http://glanz.starkethemes.com/)
14:29:47	22691/22691	---M-Z	200	added ('OK')	application/javascript	etag:%22804d3d72d033d21:0%22	http://ajax.aspnetcdn.com/ajax/jquery.validate/1.15.0/jquery.validate.min.js	C:/My%20Web%20Sites/wedding/ajax.aspnetcdn.com/ajax/jquery.validate/1.15.0/jquery.validate.min.js	(from http://glanz.starkethemes.com/)
14:29:48	1822/1822	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a3a40b9-71e%22	http://glanz.starkethemes.com/wp-content/plugins/rsvp/rsvp_plugin.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/rsvp/rsvp_plugin.js	(from http://glanz.starkethemes.com/)
14:29:49	14092/14092	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a3a40b5-370c%22	http://glanz.starkethemes.com/wp-content/plugins/contact-form-7/includes/js/scripts.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/contact-form-7/includes/js/scripts.js	(from http://glanz.starkethemes.com/)
14:29:50	21871/21871	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a3a3617-556f%22	http://glanz.starkethemes.com/wp-content/plugins/instagram-feed/js/sb-instagram.min.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/instagram-feed/js/sb-instagram.min.js	(from http://glanz.starkethemes.com/)
14:29:51	2650/2650	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a3a40c3-a5a%22	http://glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js	(from http://glanz.starkethemes.com/)
14:29:52	9566/9566	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225a3a40c3-255e%22	http://glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js	(from http://glanz.starkethemes.com/)
